IMMMessageClassificationEnumeration_EnumValues,6049,Variable
XmlSchema_Euromap77_XmlSchema,6050,Variable
XmlSchema_Euromap77_XmlSchema_NamespaceUri,6051,Variable
IMM_MES_InterfaceType_MachineMESStatus_StandstillMessage_Id,6052,Variable
IMM_MES_InterfaceType_MachineMESStatus_StandstillMessage_Message,6053,Variable
IMM_MES_InterfaceType_MachineMESStatus_StandstillMessage_Severity,6054,Variable
IMM_MES_InterfaceType_MachineMESStatus_StandstillReasonId,6055,Variable
IMM_MES_InterfaceType_InjectionUnits_NodeVersion,6056,Variable
InjectionUnitType_TemperatureZones_NodeVersion,6057,Variable
InjectionUnitsType_InjectionUnit__Nr__TemperatureZones_NodeVersion,6058,Variable
InjectionUnitCycleParametersType_DosingTime,6059,Variable
InjectionUnitCycleParametersType_InjectionTime,6060,Variable
InjectionUnitCycleParametersType_InjectionSpeedMaximum,6061,Variable
InjectionUnitCycleParametersType_InjectionSpeedMaximum_EURange,6062,Variable
InjectionUnitCycleParametersType_PlastificationVolume,6063,Variable
InjectionUnitCycleParametersType_DecompressionVolumeBeforePlastification,6064,Variable
InjectionUnitCycleParametersType_InjectionSpeedAverage,6065,Variable
InjectionUnitCycleParametersType_InjectionSpeedAverage_EURange,6066,Variable
InjectionUnitCycleParametersType_PlastificationSpecificPressureAverage,6067,Variable
InjectionUnitCycleParametersType_PlastificationSpecificPressureAverage_EURange,6068,Variable
InjectionUnitCycleParametersType_PlastificationSpecificPressureMaximum,6069,Variable
InjectionUnitCycleParametersType_PlastificationSpecificPressureMaximum_EURange,6070,Variable
InjectionUnitCycleParametersType_TransferStroke,6071,Variable
InjectionUnitCycleParametersType_TransferStroke_EURange,6072,Variable
Server_Namespaces_S__www_euromap_org_euromap77__IsNamespaceSubset,6073,Variable
Server_Namespaces_S__www_euromap_org_euromap77__NamespacePublicationDate,6074,Variable
Server_Namespaces_S__www_euromap_org_euromap77__NamespaceUri,6075,Variable
Server_Namespaces_S__www_euromap_org_euromap77__NamespaceVersion,6076,Variable
Server_Namespaces_S__www_euromap_org_euromap77__StaticNodeIdTypes,6077,Variable
Server_Namespaces_S__www_euromap_org_euromap77__StaticNumericNodeIdRange,6078,Variable
Server_Namespaces_S__www_euromap_org_euromap77__StaticStringNodeIdPattern,6079,Variable
InjectionUnitType_BarrelId,6097,Variable
InjectionUnitType_IsPresent,6098,Variable
InjectionUnitType_InProduction,6099,Variable
InjectionUnitType_ScrewDiameter,6100,Variable
InjectionUnitType_ScrewDiameter_EURange,6101,Variable
InjectionUnitType_MaxScrewStroke,6102,Variable
InjectionUnitType_MaxScrewStroke_EURange,6103,Variable
InjectionUnitType_ScrewVolume,6104,Variable
InjectionUnitType_ScrewVolume_EURange,6105,Variable
InjectionUnitType_ScrewId,6106,Variable
InjectionUnitCycleParametersType_Index,6107,Variable
InjectionUnitCycleParametersType_TransferCavityPressure,6117,Variable
InjectionUnitCycleParametersType_BackPressure,6118,Variable
InjectionUnitCycleParametersType_BackPressure_EURange,6119,Variable
InjectionUnitCycleParametersType_BackPressure_EngineeringUnits,6120,Variable
InjectionUnitCycleParametersType_TransferCavityPressure_EURange,6128,Variable
InjectionUnitCycleParametersType_CavityPressureMaximum,6129,Variable
InjectionUnitCycleParametersType_CavityPressureMaximum_EURange,6130,Variable
InjectionUnitCycleParametersType_DecompressionVolumeAfterPlastification,6131,Variable
InjectionUnitCycleParametersType_DecompressionVolumeAfterPlastification_EURange,6132,Variable
InjectionUnitCycleParametersType_DecompressionVolumeBeforePlastification_EURange,6136,Variable
InjectionUnitCycleParametersType_HoldHydraulicPressureAverage,6146,Variable
InjectionUnitCycleParametersType_HoldHydraulicPressureAverage_EURange,6147,Variable
InjectionUnitCycleParametersType_HoldHydraulicPressureMaximum,6148,Variable
InjectionUnitCycleParametersType_HoldHydraulicPressureMaximum_EURange,6149,Variable
InjectionUnitCycleParametersType_HoldSpecificPressureAverage,6150,Variable
InjectionUnitCycleParametersType_HoldSpecificPressureAverage_EURange,6151,Variable
InjectionUnitCycleParametersType_HoldSpecificPressureMaximum,6152,Variable
InjectionUnitCycleParametersType_HoldSpecificPressureMaximum_EURange,6153,Variable
IMM_MES_InterfaceType_MachineConfiguration_GetPage_InputArguments,6155,Variable
InjectionUnitCycleParametersType_TransferHydraulicPressure,6156,Variable
InjectionUnitsType_InjectionUnit__Nr__Index,6157,Variable
IMM_MES_InterfaceType_MachineConfiguration_SetServerTime_InputArguments,6161,Variable
InjectionUnitCycleParametersType_TransferHydraulicPressure_EURange,6162,Variable
InjectionUnitsType_InjectionUnit__Nr__InProduction,6178,Variable
InjectionUnitsType_InjectionUnit__Nr__IsPresent,6179,Variable
InjectionUnitsType_InjectionUnit__Nr__MaxScrewStroke,6180,Variable
InjectionUnitsType_InjectionUnit__Nr__MaxScrewStroke_EngineeringUnits,6181,Variable
InjectionUnitsType_InjectionUnit__Nr__MaxScrewStroke_EURange,6182,Variable
InjectionUnitsType_InjectionUnit__Nr__ScrewDiameter,6183,Variable
InjectionUnitsType_InjectionUnit__Nr__ScrewDiameter_EURange,6184,Variable
InjectionUnitsType_InjectionUnit__Nr__ScrewId,6185,Variable
InjectionUnitsType_InjectionUnit__Nr__ScrewVolume,6186,Variable
InjectionUnitsType_InjectionUnit__Nr__ScrewVolume_EURange,6187,Variable
InjectionUnitCycleParametersType_HydraulicPressureMaximum,6188,Variable
InjectionUnitCycleParametersType_HydraulicPressureMaximum_EURange,6191,Variable
InjectionUnitCycleParametersType_PlastificationHydraulicPressureAverage,6194,Variable
InjectionUnitCycleParametersType_PlastificationHydraulicPressureAverage_EURange,6195,Variable
InjectionUnitCycleParametersType_PlastificationHydraulicPressureMaximum,6197,Variable
IMM_MES_InterfaceType_Moulds_NodeVersion,6198,Variable
IMM_MES_InterfaceType_PowerUnits_NodeVersion,6199,Variable
IMM_MES_InterfaceType_MachineConfiguration_GetPage_OutputArguments,6200,Variable
IMM_MES_InterfaceType_MachineConfiguration_GetCurrentPage_InputArguments,6201,Variable
IMM_MES_InterfaceType_MachineConfiguration_GetCurrentPage_OutputArguments,6202,Variable
InjectionUnitCycleParametersType_PlastificationHydraulicPressureMaximum_EURange,6206,Variable
InjectionUnitCycleParametersType_PlastificationCircumferentialSpeedAverage,6208,Variable
InjectionUnitCycleParametersType_PlastificationCircumferentialSpeedAverage_EURange,6210,Variable
InjectionUnitCycleParametersType_PlastificationCircumferentialSpeedMaximum,6211,Variable
InjectionUnitCycleParametersType_PlastificationCircumferentialSpeedMaximum_EURange,6214,Variable
IMM_MES_InterfaceType_Jobs_ActiveJob_JobName,6217,Variable
IMM_MES_InterfaceType_Jobs_JobInPreparation__Nr__JobName,6219,Variable
IMM_MES_InterfaceType_Jobs_ActiveJob_JobDescription,6222,Variable
InjectionUnitCycleParametersType_PlastificationRotationalSpeedAverage,6223,Variable
InjectionUnitCycleParametersType_PlastificationRotationalSpeedAverage_EURange,6224,Variable
InjectionUnitCycleParametersType_PlastificationRotationalSpeedMaximum,6225,Variable
InjectionUnitCycleParametersType_PlastificationRotationalSpeedMaximum_EURange,6226,Variable
InjectionUnitCycleParametersType_PlastificationVolume_EURange,6227,Variable
InjectionUnitCycleParametersType_TransferSpecificPressure,6228,Variable
IMM_MES_InterfaceType_ProductionDatasetManagement_ProductionDatasetLists_GetProductionDatasetList_InputArguments,6243,Variable
IMM_MES_InterfaceType_ProductionDatasetManagement_ProductionDatasetLists_GetProductionDatasetList_OutputArguments,6244,Variable
IMM_MES_InterfaceType_ProductionDatasetManagement_ProductionDatasetLists_SendProductionDatasetList_InputArguments,6245,Variable
InjectionUnitCycleParametersType_TransferSpecificPressure_EURange,6246,Variable
InjectionUnitCycleParametersType_SpecificPressureMaximum,6247,Variable
InjectionUnitCycleParametersType_SpecificPressureMaximum_EURange,6248,Variable
InjectionUnitType_ScrewVolume_EngineeringUnits,6251,Variable
InjectionUnitsType_InjectionUnit__Nr__ScrewDiameter_EngineeringUnits,6252,Variable
InjectionUnitsType_InjectionUnit__Nr__ScrewVolume_EngineeringUnits,6253,Variable
InjectionUnitCycleParametersType_TransferVolume,6254,Variable
IMM_MES_InterfaceType_Jobs_JobInPreparation__Nr__JobDescription,6256,Variable
IMM_MES_InterfaceType_Jobs_ActiveJob_ProductionDatasetName,6263,Variable
IMM_MES_InterfaceType_Jobs_ActiveJob_ProductionDatasetDescription,6264,Variable
IMM_MES_InterfaceType_Jobs_ActiveJob_MouldId,6265,Variable
IMM_MES_InterfaceType_Jobs_JobInPreparation__Nr__ProductionDatasetName,6269,Variable
IMM_MES_InterfaceType_Jobs_JobInPreparation__Nr__ProductionDatasetDescription,6270,Variable
IMM_MES_InterfaceType_Jobs_JobInPreparation__Nr__MouldId,6271,Variable
IMM_MES_InterfaceType_Jobs_ActiveJob_NumCavities,6274,Variable
IMM_MES_InterfaceType_Jobs_JobInPreparation__Nr__NumCavities,6276,Variable
IMM_MES_InterfaceType_Jobs_ActiveJob_ContinueAtJobEnd,6294,Variable
IMM_MES_InterfaceType_Jobs_JobInPreparation__Nr__ContinueAtJobEnd,6296,Variable
IMM_MES_InterfaceType_Jobs_ActiveJob_Material,6299,Variable
IMM_MES_InterfaceType_Jobs_JobInPreparation__Nr__Material,6301,Variable
IMM_MES_InterfaceType_Jobs_ActiveJob_ProductName,6306,Variable
IMM_MES_InterfaceType_Jobs_ActiveJob_ProductDescription,6307,Variable
IMM_MES_InterfaceType_Jobs_JobInPreparation__Nr__ProductName,6310,Variable
IMM_MES_InterfaceType_Jobs_JobInPreparation__Nr__ProductDescription,6311,Variable
IMM_MES_InterfaceType_Jobs_ActiveJob_SetJobData_InputArguments,6424,Variable
IMM_MES_InterfaceType_Jobs_JobInPreparation__Nr__SetJobData_InputArguments,6426,Variable
InjectionUnitCycleParametersType_TransferVolume_EURange,6427,Variable
InjectionUnitCycleParametersType_TransferCavityPressure_EngineeringUnits,6428,Variable
InjectionUnitCycleParametersType_CushionVolume,6441,Variable
InjectionUnitCycleParametersType_CushionVolume_EURange,6442,Variable
InjectionUnitCycleParametersType_CavityPressureMaximum_EngineeringUnits,6448,Variable
InjectionUnitCycleParametersType_DecompressionVolumeAfterPlastification_EngineeringUnits,6449,Variable
InjectionUnitCycleParametersType_DecompressionVolumeBeforePlastification_EngineeringUnits,6450,Variable
InjectionUnitCycleParametersType_HoldHydraulicPressureAverage_EngineeringUnits,6454,Variable
InjectionUnitCycleParametersType_HoldHydraulicPressureMaximum_EngineeringUnits,6455,Variable
InjectionUnitCycleParametersType_HoldSpecificPressureAverage_EngineeringUnits,6456,Variable
InjectionUnitCycleParametersType_HoldSpecificPressureMaximum_EngineeringUnits,6457,Variable
InjectionUnitCycleParametersType_TransferHydraulicPressure_EngineeringUnits,6458,Variable
InjectionUnitCycleParametersType_HydraulicPressureMaximum_EngineeringUnits,6459,Variable
InjectionUnitCycleParametersType_PlastificationHydraulicPressureAverage_EngineeringUnits,6470,Variable
InjectionUnitCycleParametersType_PlastificationHydraulicPressureMaximum_EngineeringUnits,6471,Variable
InjectionUnitCycleParametersType_PlastificationCircumferentialSpeedAverage_EngineeringUnits,6472,Variable
InjectionUnitCycleParametersType_PlastificationCircumferentialSpeedMaximum_EngineeringUnits,6473,Variable
InjectionUnitCycleParametersType_PlastificationRotationalSpeedAverage_EngineeringUnits,6474,Variable
InjectionUnitCycleParametersType_CushionVolume_EngineeringUnits,6475,Variable
InjectionUnitCycleParametersType_PlastificationRotationalSpeedMaximum_EngineeringUnits,6476,Variable
InjectionUnitCycleParametersType_PlastificationVolume_EngineeringUnits,6477,Variable
InjectionUnitCycleParametersType_TransferSpecificPressure_EngineeringUnits,6478,Variable
InjectionUnitCycleParametersType_SpecificPressureMaximum_EngineeringUnits,6479,Variable
InjectionUnitCycleParametersType_TransferVolume_EngineeringUnits,6481,Variable
IMM_MES_InterfaceType_MachineInformation_SupportedLogbookEvents,6483,Variable
InjectionUnitType_MaxScrewStroke_EngineeringUnits,6689,Variable
InjectionUnitType_ScrewDiameter_EngineeringUnits,6691,Variable
InjectionUnitType_Index,6724,Variable
IMM_MES_InterfaceType_ProductionDatasetManagement_ProductionDatasetStatus_LoadProductionDataset,7001,Method
IMM_MES_InterfaceType_ProductionDatasetManagement_ProductionDatasetTransfer_CloseAndCommit,7002,Method
IMM_MES_InterfaceType_ProductionDatasetManagement_ProductionDatasetTransfer_GenerateFileForRead,7003,Method
IMM_MES_InterfaceType_ProductionDatasetManagement_ProductionDatasetTransfer_GenerateFileForWrite,7004,Method
IMM_MES_InterfaceType_MachineConfiguration_SetServerTime,7005,Method
IMM_MES_InterfaceType_MachineMESStatus_ClearMESMessage,7006,Method
IMM_MES_InterfaceType_MachineMESStatus_ProductionControl_DisableAutomaticRun,7007,Method
IMM_MES_InterfaceType_MachineMESStatus_ProductionControl_EnableAutomaticRun,7008,Method
IMM_MES_InterfaceType_MachineMESStatus_SetMESMessage,7009,Method
IMM_MES_InterfaceType_Jobs_SendJobList,7023,Method
IMM_MES_InterfaceType_Jobs_ActiveJob_SetJobData,7031,Method
IMM_MES_InterfaceType_Jobs_JobInPreparation__Nr__SetJobData,7033,Method
IMM_MES_InterfaceType_ProductionDatasetManagement_ProductionDatasetLists_GetProductionDatasetList,7036,Method
IMM_MES_InterfaceType_ProductionDatasetManagement_ProductionDatasetLists_SendProductionDatasetList,7037,Method
IMM_MES_InterfaceType_MachineConfiguration_GetPage,7059,Method
IMM_MES_InterfaceType_MachineConfiguration_GetCurrentPage,7060,Method
